,sample,ARG,AMR_category,MGE_prediction
SRR6744457_154,SRR6744457,VANU,glycopeptide,plasmid
SRR6744457_155,SRR6744457,EFRB,multidrug,unclassified
SRR6744457_156,SRR6744457,UGD,peptide,unclassified
SRR6744457_157,SRR6744457,RPOB2,multidrug,unclassified
SRR6744457_158,SRR6744457,UGD,peptide,chromosome
SRR6744457_159,SRR6744457,TETB,tetracycline,chromosome
SRR6744457_160,SRR6744457,TETA,tetracycline,chromosome
SRR6744457_161,SRR6744457,ERMF,MLS,unclassified
SRR6744457_162,SRR6744457,AADA24,aminoglycoside,unclassified
SRR6744457_163,SRR6744457,PATB,fluoroquinolone,chromosome
SRR6744457_164,SRR6744457,TETQ,tetracycline,phage
SRR6744457_165,SRR6744457,EFRB,multidrug,chromosome
SRR6744457_166,SRR6744457,MYRA,MLS,chromosome
SRR6744457_167,SRR6744457,RPOB2,multidrug,phage
SRR6744457_168,SRR6744457,TET(W/N/W),tetracycline,unclassified
SRR6744457_169,SRR6744457,CHRB,MLS,unclassified
SRR6744457_170,SRR6744457,TETO,tetracycline,plasmid
SRR6744457_171,SRR6744457,VANR,glycopeptide,chromosome
SRR6744457_172,SRR6744457,RPOB2,multidrug,phage
SRR6744457_173,SRR6744457,VANR,glycopeptide,ambiguous (plasmid/phage)
SRR6744457_174,SRR6744457,ERMY,MLS,unclassified
SRR6744457_175,SRR6744457,RPOB2,multidrug,chromosome
SRR6744457_176,SRR6744457,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744457_177,SRR6744457,POXTA,multidrug,chromosome
SRR6744457_178,SRR6744457,TETA,tetracycline,chromosome
SRR6744457_179,SRR6744457,TETB,tetracycline,chromosome
SRR6744457_180,SRR6744457,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744457_181,SRR6744457,VANSN,glycopeptide,chromosome
SRR6744457_182,SRR6744457,PENA,beta-lactam,chromosome
SRR6744457_183,SRR6744457,AADA14,aminoglycoside,unclassified
SRR6744457_184,SRR6744457,VANR,glycopeptide,unclassified
SRR6744457_185,SRR6744457,UGD,peptide,phage
SRR6744457_186,SRR6744457,ERMG,MLS,plasmid
SRR6744457_187,SRR6744457,CMEB,multidrug,unclassified
SRR6744457_188,SRR6744457,MDTG,fosfomycin,unclassified
SRR6744457_189,SRR6744457,ERM(32),MLS,unclassified
SRR6744457_190,SRR6744457,RPOB2,multidrug,phage
SRR6744457_191,SRR6744457,MPHJ,MLS,ambiguous (plasmid/phage)
SRR6744459_1,SRR6744459,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744459_2,SRR6744459,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744459_3,SRR6744459,RPHA,rifamycin,plasmid
SRR6744459_4,SRR6744459,POXTA,multidrug,ambiguous (phage/chromosome)
SRR6744459_5,SRR6744459,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,chromosome
SRR6744459_6,SRR6744459,VANR,glycopeptide,chromosome
SRR6744459_7,SRR6744459,RMTD2,aminoglycoside,chromosome
SRR6744459_8,SRR6744459,DFRF,diaminopyrimidine,chromosome
SRR6744459_9,SRR6744459,PGPB,peptide,ambiguous (plasmid/phage)
SRR6744459_10,SRR6744459,VANR,glycopeptide,chromosome
SRR6744459_11,SRR6744459,BLAF,beta-lactam,plasmid
SRR6744459_12,SRR6744459,LRA-2,beta-lactam,unclassified
SRR6744459_13,SRR6744459,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744459_14,SRR6744459,VANU,glycopeptide,plasmid
SRR6744459_15,SRR6744459,VANU,glycopeptide,plasmid
SRR6744459_16,SRR6744459,TETQ,tetracycline,ambiguous (phage/chromosome)
SRR6744459_17,SRR6744459,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6744459_18,SRR6744459,CORYNEBACTERIUM STRIATUM TETA,multidrug,ambiguous (phage/chromosome)
SRR6744459_19,SRR6744459,RPOB2,multidrug,chromosome
SRR6744459_20,SRR6744459,CFXA3,beta-lactam,ambiguous (plasmid/phage)
SRR6744459_21,SRR6744459,UGD,peptide,unclassified
SRR6744459_22,SRR6744459,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,plasmid
SRR6744459_23,SRR6744459,ICR-MO,peptide,chromosome
SRR6744459_24,SRR6744459,OXA-1,beta-lactam,plasmid
SRR6744459_25,SRR6744459,RPOB2,multidrug,chromosome
SRR6744459_26,SRR6744459,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6744459_27,SRR6744459,ERMF,MLS,plasmid
SRR6744459_28,SRR6744459,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744459_29,SRR6744459,EFRB,multidrug,chromosome
SRR6744459_30,SRR6744459,VANR,glycopeptide,plasmid
SRR6744459_31,SRR6744459,TET(W/N/W),tetracycline,plasmid
SRR6744459_32,SRR6744459,ERMX,MLS,unclassified
SRR6744459_33,SRR6744459,VANR,glycopeptide,chromosome
SRR6744459_34,SRR6744459,BCRA,bacitracin,chromosome
SRR6744459_35,SRR6744459,TET(33),tetracycline,plasmid
SRR6744459_36,SRR6744459,VGAB,multidrug,unclassified
SRR6744459_37,SRR6744459,EFRB,multidrug,chromosome
SRR6744459_38,SRR6744459,TETA,tetracycline,unclassified
SRR6744459_39,SRR6744459,MEXD,multidrug,chromosome
SRR6744459_40,SRR6744459,ERME,MLS,plasmid
SRR6744459_41,SRR6744459,OMPR,beta-lactam,chromosome
SRR6744459_42,SRR6744459,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744459_43,SRR6744459,RPOB2,multidrug,chromosome
SRR6744459_44,SRR6744459,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744459_45,SRR6744459,AAC(3)-IIIA,aminoglycoside,ambiguous (phage/chromosome)
SRR6744459_46,SRR6744459,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744459_47,SRR6744459,MDTE,multidrug,plasmid
SRR6744459_48,SRR6744459,BLT,multidrug,chromosome
SRR6744459_49,SRR6744459,MIR-14,beta-lactam,unclassified
SRR6744459_50,SRR6744459,MEXQ,multidrug,ambiguous (plasmid/phage)
SRR6744459_51,SRR6744459,VIBRIO CHOLERAE VARG,beta-lactam,plasmid
SRR6744459_52,SRR6744459,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744459_53,SRR6744459,AAC(3)-IB/AAC(6')-IB'',aminoglycoside,unclassified
SRR6744459_54,SRR6744459,TETX,tetracycline,unclassified
SRR6744459_55,SRR6744459,TETW,tetracycline,unclassified
SRR6744459_56,SRR6744459,MPHH,MLS,unclassified
SRR6744459_57,SRR6744459,VANE,glycopeptide,plasmid
SRR6744459_58,SRR6744459,CHRYSEOBACTERIUM MENINGOSEPTICUM BLAB,beta-lactam,plasmid
SRR6744459_59,SRR6744459,VANU,glycopeptide,ambiguous (plasmid/phage)
SRR6744459_60,SRR6744459,UGD,peptide,chromosome
SRR6744459_61,SRR6744459,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744459_62,SRR6744459,MEXB,multidrug,plasmid
SRR6744459_63,SRR6744459,ANT(3'')-IIA,aminoglycoside,plasmid
SRR6744459_64,SRR6744459,VANRA,glycopeptide,plasmid
SRR6744459_65,SRR6744459,VANU,glycopeptide,chromosome
SRR6744459_66,SRR6744459,AAC(6')-IID,aminoglycoside,plasmid
SRR6744459_67,SRR6744459,CARA,multidrug,unclassified
SRR6744459_68,SRR6744459,EREB,MLS,unclassified
SRR6744459_69,SRR6744459,VANU,glycopeptide,ambiguous (plasmid/phage)
SRR6744459_70,SRR6744459,NORA,multidrug,plasmid
SRR6744459_71,SRR6744459,QACA,fluoroquinolone,unclassified
SRR6744459_72,SRR6744459,ARNA,polymyxin,chromosome
SRR6744459_73,SRR6744459,ARNA,peptide,chromosome
SRR6744459_74,SRR6744459,RPOB2,multidrug,chromosome
SRR6744459_75,SRR6744459,RPOB2,multidrug,chromosome
SRR6744459_76,SRR6744459,UGD,peptide,ambiguous (phage/chromosome)
SRR6744459_77,SRR6744459,CMLB,phenicol,plasmid
SRR6744459_78,SRR6744459,VANU,glycopeptide,chromosome
SRR6744459_79,SRR6744459,TETW,tetracycline,unclassified
SRR6744459_80,SRR6744459,GOB-16,beta-lactam,unclassified
SRR6744459_81,SRR6744459,OXA-168,beta-lactam,unclassified
SRR6744459_82,SRR6744459,EFRB,multidrug,chromosome
SRR6744459_83,SRR6744459,AAC(6')-IX,aminoglycoside,unclassified
SRR6744459_84,SRR6744459,IND-2A,beta-lactam,unclassified
SRR6744459_85,SRR6744459,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6744459_86,SRR6744459,KLEBSIELLA PNEUMONIAE KPNH,multidrug,phage
SRR6744459_87,SRR6744459,RPOB2,multidrug,chromosome
SRR6744459_88,SRR6744459,ROSB,peptide,chromosome
SRR6744459_89,SRR6744459,VANU,glycopeptide,phage
SRR6744459_90,SRR6744459,UGD,peptide,chromosome
SRR6744459_91,SRR6744459,OPRM,multidrug,unclassified
SRR6744459_92,SRR6744459,ERMA,MLS,ambiguous (phage/chromosome)
SRR6744459_93,SRR6744459,TETX,tetracycline,phage
SRR6744459_94,SRR6744459,VANS,glycopeptide,unclassified
SRR6744459_95,SRR6744459,MEXA,multidrug,unclassified
SRR6744459_96,SRR6744459,ADC-8,beta-lactam,chromosome
SRR6744459_97,SRR6744459,TETB,tetracycline,chromosome
SRR6744459_98,SRR6744459,TETA,tetracycline,chromosome
SRR6744459_99,SRR6744459,AADS,aminoglycoside,phage
SRR6744459_100,SRR6744459,VANU,glycopeptide,plasmid
SRR6744459_101,SRR6744459,TETW,tetracycline,unclassified
SRR6744459_102,SRR6744459,SHV-149,beta-lactam,phage
SRR6744459_103,SRR6744459,ADER,multidrug,unclassified
SRR6744459_104,SRR6744459,EFRB,multidrug,chromosome
SRR6744459_105,SRR6744459,TMRB,nucleoside,ambiguous (phage/chromosome)
SRR6744459_106,SRR6744459,ERMF,MLS,unclassified
SRR6744459_107,SRR6744459,VANR,glycopeptide,chromosome
SRR6744459_108,SRR6744459,VANU,glycopeptide,chromosome
SRR6744459_109,SRR6744459,UGD,peptide,phage
SRR6744459_110,SRR6744459,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744459_111,SRR6744459,ERMX,MLS,unclassified
SRR6744459_112,SRR6744459,TET(Z),tetracycline,plasmid
SRR6744459_113,SRR6744459,TETO,tetracycline,plasmid
SRR6744459_114,SRR6744459,VANU,glycopeptide,plasmid
SRR6744459_115,SRR6744459,MTRE,multidrug,phage
SRR6744459_116,SRR6744459,TETB(58),tetracycline,unclassified
SRR6744459_117,SRR6744459,ABEM,multidrug,plasmid
SRR6744459_118,SRR6744459,RPOB2,multidrug,chromosome
SRR6744459_119,SRR6744459,RPOB2,multidrug,chromosome
SRR6744459_120,SRR6744459,CGA-1,beta-lactam,chromosome
SRR6744459_121,SRR6744459,TETM,tetracycline,plasmid
SRR6744459_122,SRR6744459,ERM(36),MLS,unclassified
SRR6744459_123,SRR6744459,RPOB2,multidrug,unclassified
SRR6744459_124,SRR6744459,UGD,peptide,chromosome
SRR6744459_125,SRR6744459,CMEB,multidrug,chromosome
SRR6744459_126,SRR6744459,RPOB2,multidrug,chromosome
SRR6744459_127,SRR6744459,APH(2'')-IIIA,aminoglycoside,unclassified
SRR6744459_128,SRR6744459,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6744459_129,SRR6744459,EFRB,multidrug,chromosome
SRR6744459_130,SRR6744459,CAMPYLOBACTER JEJUNI GYRA CONFERRING RESISTANCE TO FLUOROQUINOLONES,multidrug,chromosome
SRR6744459_131,SRR6744459,VANU,glycopeptide,unclassified
SRR6744459_132,SRR6744459,OXA-427,beta-lactam,unclassified
SRR6744459_133,SRR6744459,VANR,glycopeptide,chromosome
SRR6744459_134,SRR6744459,BCRA,bacitracin,plasmid
SRR6744459_135,SRR6744459,UGD,peptide,unclassified
SRR6744459_136,SRR6744459,NORB,fluoroquinolone,chromosome
SRR6744459_137,SRR6744459,PDC-6,beta-lactam,phage
SRR6744459_138,SRR6744459,STAPHYLOCOCCUS MUPA CONFERRING RESISTANCE TO MUPIROCIN,mupirocin,unclassified
SRR6744459_139,SRR6744459,STAPHYLOCOCCUS MUPB CONFERRING RESISTANCE TO MUPIROCIN,mupirocin,chromosome
SRR6744459_140,SRR6744459,UGD,peptide,chromosome
SRR6744459_141,SRR6744459,SALMONELLA ENTERICA CMLA,phenicol,chromosome
SRR6744459_142,SRR6744459,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,phage
SRR6744459_143,SRR6744459,RPOB2,multidrug,chromosome
SRR6744463_1,SRR6744463,FUSD,fusidic-acid,phage
SRR6744463_2,SRR6744463,CATQ,phenicol,phage
SRR6744463_3,SRR6744463,TETQ,tetracycline,unclassified
SRR6744463_4,SRR6744463,BLAR1,beta-lactam,unclassified
SRR6744463_5,SRR6744463,CLBB,multidrug,unclassified
SRR6744466_1,SRR6744466,TEM-116,beta-lactam,unclassified
SRR6744466_2,SRR6744466,TETR,tetracycline,unclassified
SRR6744466_3,SRR6744466,TEM-185,beta-lactam,unclassified
SRR6744467_1,SRR6744467,POXTA,multidrug,chromosome
SRR6744467_2,SRR6744467,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,unclassified
SRR6744469_1,SRR6744469,RPOB2,multidrug,unclassified
SRR6744469_2,SRR6744469,TET(C),tetracycline,phage
SRR6744472_1,SRR6744472,RPOB2,multidrug,chromosome
SRR6744472_2,SRR6744472,TETQ,tetracycline,phage
SRR6744472_3,SRR6744472,MEXY,multidrug,chromosome
SRR6744472_4,SRR6744472,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6744472_5,SRR6744472,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744473_1,SRR6744473,AXYY,multidrug,ambiguous (plasmid/phage)
SRR6744473_2,SRR6744473,RPOB2,multidrug,chromosome
SRR6744473_3,SRR6744473,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744473_4,SRR6744473,EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER,fluoroquinolone,chromosome
SRR6744478_1,SRR6744478,TEM-205,beta-lactam,unclassified
SRR6744478_2,SRR6744478,TETR,tetracycline,unclassified
SRR6744479_1,SRR6744479,TET(C),tetracycline,phage
SRR6744483_1,SRR6744483,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744483_2,SRR6744483,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6744483_3,SRR6744483,LSAC,multidrug,ambiguous (phage/chromosome)
SRR6744483_4,SRR6744483,TET(C),tetracycline,phage
SRR6744486_1,SRR6744486,RPOB2,multidrug,chromosome
SRR6744486_2,SRR6744486,OTRC,tetracycline,chromosome
SRR6744486_3,SRR6744486,VANU,glycopeptide,unclassified
SRR6744486_4,SRR6744486,TETM,tetracycline,unclassified
SRR6744486_5,SRR6744486,VANU,glycopeptide,unclassified
SRR6744486_6,SRR6744486,OPRA,multidrug,chromosome
SRR6744486_7,SRR6744486,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744486_8,SRR6744486,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,ambiguous (phage/chromosome)
SRR6744486_9,SRR6744486,CFXA3,beta-lactam,unclassified
SRR6744486_10,SRR6744486,AAC(3)-XA,aminoglycoside,plasmid
SRR6744486_11,SRR6744486,MEL,multidrug,chromosome
SRR6744486_12,SRR6744486,MEFA,MLS,chromosome
SRR6744486_13,SRR6744486,RPOB2,multidrug,chromosome
SRR6744486_14,SRR6744486,TETQ,tetracycline,phage
SRR6744486_15,SRR6744486,APH(7'')-IA,aminoglycoside,ambiguous (phage/chromosome)
SRR6744486_16,SRR6744486,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744486_17,SRR6744486,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744486_18,SRR6744486,SMEB,multidrug,unclassified
SRR6744486_19,SRR6744486,MSRE,multidrug,unclassified
SRR6744486_20,SRR6744486,VANU,glycopeptide,chromosome
SRR6744489_1,SRR6744489,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,ambiguous (phage/chromosome)
SRR6744489_2,SRR6744489,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744489_3,SRR6744489,LSAC,multidrug,chromosome
SRR6744489_4,SRR6744489,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744489_5,SRR6744489,RPOB2,multidrug,chromosome
SRR6744489_6,SRR6744489,TET32,tetracycline,unclassified
SRR6744489_7,SRR6744489,TETM,tetracycline,ambiguous (plasmid/phage)
SRR6744489_8,SRR6744489,VANU,glycopeptide,unclassified
SRR6744489_9,SRR6744489,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744489_10,SRR6744489,MEL,multidrug,ambiguous (phage/chromosome)
SRR6744489_11,SRR6744489,OPRA,multidrug,ambiguous (phage/chromosome)
SRR6744489_12,SRR6744489,IMP-9,beta-lactam,chromosome
SRR6744489_13,SRR6744489,TET(W/N/W),tetracycline,plasmid
SRR6744489_14,SRR6744489,OXA-119,beta-lactam,chromosome
SRR6744491_1,SRR6744491,LSAC,multidrug,ambiguous (phage/chromosome)
SRR6744491_2,SRR6744491,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744491_3,SRR6744491,TETQ,tetracycline,unclassified
SRR6744491_4,SRR6744491,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6744493_1,SRR6744493,FUSF,fusidic-acid,unclassified
SRR6744493_2,SRR6744493,RPOB2,multidrug,chromosome
SRR6744493_3,SRR6744493,LSAC,multidrug,plasmid
SRR6744493_4,SRR6744493,ERM(40),MLS,unclassified
SRR6744493_5,SRR6744493,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744493_6,SRR6744493,TET(W/N/W),tetracycline,unclassified
SRR6744493_7,SRR6744493,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,unclassified
SRR6744493_8,SRR6744493,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6744494_1,SRR6744494,GIM-2,beta-lactam,unclassified
SRR6744494_2,SRR6744494,KPC-4,beta-lactam,chromosome
SRR6744495_1,SRR6744495,TETR,tetracycline,unclassified
SRR6744495_2,SRR6744495,TEM-116,beta-lactam,phage
SRR6744495_3,SRR6744495,TETR,tetracycline,phage
SRR6744496_1,SRR6744496,TETQ,tetracycline,ambiguous (phage/chromosome)
SRR6744496_2,SRR6744496,TETO,tetracycline,unclassified
SRR6744496_3,SRR6744496,QACG,multidrug,phage
SRR6744496_4,SRR6744496,MEL,multidrug,unclassified
SRR6744496_5,SRR6744496,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,ambiguous (phage/chromosome)
SRR6744496_6,SRR6744496,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744496_7,SRR6744496,TETM,tetracycline,unclassified
SRR6744496_8,SRR6744496,CFXA3,beta-lactam,ambiguous (phage/chromosome)
SRR6744496_9,SRR6744496,OPRA,multidrug,chromosome
SRR6744496_10,SRR6744496,LSAC,multidrug,plasmid
SRR6744496_11,SRR6744496,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,unclassified
SRR6744496_12,SRR6744496,TET32,tetracycline,unclassified
SRR6744496_13,SRR6744496,UGD,peptide,chromosome
SRR6744500_1,SRR6744500,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,ambiguous (phage/chromosome)
SRR6744500_2,SRR6744500,RPOB2,multidrug,chromosome
SRR6744500_3,SRR6744500,CFXA4,beta-lactam,plasmid
SRR6744500_4,SRR6744500,CHRB,MLS,chromosome
SRR6744500_5,SRR6744500,POXTA,multidrug,chromosome
SRR6744500_6,SRR6744500,RPOB2,multidrug,chromosome
SRR6744500_7,SRR6744500,ERMY,MLS,unclassified
SRR6744500_8,SRR6744500,OPRA,multidrug,chromosome
SRR6744500_9,SRR6744500,TETQ,tetracycline,phage
SRR6744500_10,SRR6744500,TET32,tetracycline,unclassified
SRR6744500_11,SRR6744500,VANXYN,glycopeptide,unclassified
SRR6744500_12,SRR6744500,CFXA3,beta-lactam,phage
SRR6744500_13,SRR6744500,TETQ,tetracycline,unclassified
SRR6744500_14,SRR6744500,TETQ,tetracycline,unclassified
SRR6744500_15,SRR6744500,MDTG,fosfomycin,unclassified
SRR6744500_16,SRR6744500,TETM,tetracycline,plasmid
SRR6744500_17,SRR6744500,RPOB2,multidrug,chromosome
SRR6744500_18,SRR6744500,MEFA,MLS,chromosome
SRR6744500_19,SRR6744500,MEL,multidrug,chromosome
SRR6744500_20,SRR6744500,OXA-308,beta-lactam,unclassified
SRR6744500_21,SRR6744500,VANU,glycopeptide,ambiguous (plasmid/phage)
SRR6744500_22,SRR6744500,AACA43,aminoglycoside,ambiguous (plasmid/phage)
SRR6744500_23,SRR6744500,MECI,beta-lactam,ambiguous (plasmid/phage)
SRR6744503_1,SRR6744503,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,ambiguous (phage/chromosome)
SRR6744503_2,SRR6744503,SMEB,multidrug,unclassified
SRR6744503_3,SRR6744503,TETQ,tetracycline,unclassified
SRR6744503_4,SRR6744503,RPOB2,multidrug,chromosome
SRR6744503_5,SRR6744503,TET(W/N/W),tetracycline,plasmid
SRR6744503_6,SRR6744503,TETQ,tetracycline,chromosome
SRR6744503_7,SRR6744503,TETM,tetracycline,chromosome
SRR6744503_8,SRR6744503,MSRE,multidrug,chromosome
SRR6744503_9,SRR6744503,LRA-7,beta-lactam,unclassified
SRR6744504_1,SRR6744504,UGD,peptide,unclassified
SRR6744504_2,SRR6744504,RPOB2,multidrug,chromosome
SRR6744504_3,SRR6744504,MSRE,multidrug,plasmid
SRR6744504_4,SRR6744504,MEL,multidrug,chromosome
SRR6744504_5,SRR6744504,LSAC,multidrug,plasmid
SRR6744504_6,SRR6744504,MEFA,MLS,phage
SRR6744504_7,SRR6744504,ACRB,multidrug,unclassified
SRR6744504_8,SRR6744504,RHODOCOCCUS FASCIANS CMR,phenicol,unclassified
SRR6744504_9,SRR6744504,RPOB2,multidrug,chromosome
SRR6744504_10,SRR6744504,CMY-82,beta-lactam,phage
SRR6744504_11,SRR6744504,FAR-1,beta-lactam,phage
SRR6744504_12,SRR6744504,ERMF,MLS,unclassified
SRR6744504_13,SRR6744504,TETM,tetracycline,ambiguous (plasmid/phage)
SRR6744504_14,SRR6744504,TETQ,tetracycline,ambiguous (plasmid/phage)
SRR6744504_15,SRR6744504,CFXA2,beta-lactam,unclassified
SRR6744504_16,SRR6744504,ACINETOBACTER BAUMANNII ABAF,fosfomycin,unclassified
SRR6744505_1,SRR6744505,ERMB,MLS,ambiguous (phage/chromosome)
SRR6744505_2,SRR6744505,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6744505_3,SRR6744505,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6744505_4,SRR6744505,VANU,glycopeptide,chromosome
SRR6744505_5,SRR6744505,LSAC,multidrug,ambiguous (phage/chromosome)
SRR6744505_6,SRR6744505,VANU,glycopeptide,ambiguous (phage/chromosome)
SRR6744505_7,SRR6744505,CATQ,phenicol,phage
SRR6744505_8,SRR6744505,TETQ,tetracycline,unclassified
SRR6744505_9,SRR6744505,RPOB2,multidrug,chromosome
SRR6744506_1,SRR6744506,VANU,glycopeptide,plasmid
SRR6744506_2,SRR6744506,RPOB2,multidrug,chromosome
SRR6744506_3,SRR6744506,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6744506_4,SRR6744506,VANU,glycopeptide,unclassified
SRR6744506_5,SRR6744506,LSAC,multidrug,plasmid
SRR6744509_1,SRR6744509,VANSC,glycopeptide,unclassified
SRR6744509_2,SRR6744509,FUSD,fusidic-acid,phage
SRR6744509_3,SRR6744509,LSAC,multidrug,plasmid
SRR6744509_4,SRR6744509,APH(2'')-IF,aminoglycoside,phage
SRR6744509_5,SRR6744509,OMPR,beta-lactam,unclassified
SRR6744509_6,SRR6744509,MPHK,MLS,plasmid
SRR6744509_7,SRR6744509,TETM,tetracycline,plasmid
SRR6744509_8,SRR6744509,TET(W/N/W),tetracycline,unclassified
SRR6744511_1,SRR6744511,CFXA3,beta-lactam,plasmid
SRR6744511_2,SRR6744511,CLBC,multidrug,unclassified
SRR6744511_3,SRR6744511,TETQ,tetracycline,unclassified
SRR6744511_4,SRR6744511,TET(W/N/W),tetracycline,plasmid
SRR6744511_5,SRR6744511,TETM,tetracycline,unclassified
SRR6744511_6,SRR6744511,TETQ,tetracycline,chromosome
SRR6744511_7,SRR6744511,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744512_1,SRR6744512,RPOB2,multidrug,chromosome
SRR6744512_2,SRR6744512,RPOB2,multidrug,ambiguous (phage/chromosome)
SRR6744512_3,SRR6744512,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,chromosome
SRR6744512_4,SRR6744512,TET32,tetracycline,ambiguous (phage/chromosome)
SRR6744512_5,SRR6744512,MSRE,multidrug,unclassified
SRR6744512_6,SRR6744512,TET(W/N/W),tetracycline,plasmid
SRR6744512_7,SRR6744512,RPOB2,multidrug,chromosome
SRR6744512_8,SRR6744512,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,ambiguous (phage/chromosome)
SRR6744512_9,SRR6744512,OPRM,multidrug,plasmid
SRR6744512_10,SRR6744512,RPOB2,multidrug,chromosome
SRR6744512_11,SRR6744512,TETQ,tetracycline,chromosome
SRR6744512_12,SRR6744512,TETM,tetracycline,plasmid
SRR6744512_13,SRR6744512,ERMF,MLS,ambiguous (plasmid/phage)
SRR6744512_14,SRR6744512,ERMA,MLS,plasmid
SRR6744512_15,SRR6744512,BIFIDOBACTERIUM ADOLESCENTIS RPOB MUTANTS CONFERRING RESISTANCE TO RIFAMPICIN,multidrug,chromosome
SRR6744512_16,SRR6744512,EFRB,multidrug,chromosome
SRR6744512_17,SRR6744512,NORB,fluoroquinolone,chromosome
SRR6744512_18,SRR6744512,ERMF,MLS,chromosome
